Model,Feature Extraction (ms),Model Inference (ms),Post-processing (ms),Total (ms)
dnn,992.9376330110244,45.996496496566884,0.033256904377291605,1038.9673864119686
gru,992.9376330110244,49.70131093480935,0.03387003283326824,1042.672813978667
linear,992.9376330110244,49.559204367687926,0.03418743532771865,1042.5310248140402
lstm,992.9376330110244,53.47974419904252,0.034698876940334834,1046.4520760870073
shallow,992.9376330110244,48.63989969793086,0.03342326575269302,1041.6109559747078
transformer,992.9376330110244,49.861592265854895,0.03433232583726446,1042.8335576027166
