Model,Feature Extraction (ms),Model Inference (ms),Post-processing (ms),Total (ms)
dnn,1082.380892999936,48.74454800349971,0.0337095387900869,1131.1591505422257
gru,1082.380892999936,49.91133050255788,0.03426902888653179,1132.3264925313802
linear,1082.380892999936,48.65308867107766,0.03278857135834794,1131.066770242372
lstm,1082.380892999936,55.05499703576788,0.03693513184164961,1137.4728251675454
shallow,1082.380892999936,49.056283370979756,0.03370763151906431,1131.4708840024348
transformer,1082.380892999936,49.30389300376798,0.033931463258340955,1131.7187174669623
